UserID,MovieID,Title,Title_1,Year,Sum of Total Views,Language,Country - Movie,Country - User,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Sum of Rating,Count of RatingID,Year,Quarter,Month,Day,Age,Device,Gender,SubscriptionStatus,TotalWatchTime
SF_2118,2031,"$1,000,000 Duck (1971)","$1,000,000 Duck",1971,48448,French,India,Canada,Children's,Comedy,"","","","",4.3,1,2024,Qtr 1,January,4,10,Tablet,M,Free,415
SF_2536,2031,"$1,000,000 Duck (1971)","$1,000,000 Duck",1971,48448,French,India,France,Children's,Comedy,"","","","",4.2,1,2024,Qtr 1,January,28,39,Mobile,M,Free,137
SF_3499,2031,"$1,000,000 Duck (1971)","$1,000,000 Duck",1971,48448,French,India,USA,Children's,Comedy,"","","","",4.7,1,2024,Qtr 4,November,14,10,Smart TV,M,Subscriber,139
SF_493,2031,"$1,000,000 Duck (1971)","$1,000,000 Duck",1971,48448,French,India,UK,Children's,Comedy,"","","","",2.3,1,2024,Qtr 2,May,1,11,Mobile,M,Free,105
SF_4969,2031,"$1,000,000 Duck (1971)","$1,000,000 Duck",1971,48448,French,India,Canada,Children's,Comedy,"","","","",4.6,1,2024,Qtr 2,May,21,54,Mobile,M,Free,342
SF_1665,3420,...And Justice for All (1979),...And Justice for All,1979,5966,French,Canada,France,Drama,Thriller,"","","","",3.4,1,2024,Qtr 1,February,17,30,Mobile,M,Free,346
SF_3246,3420,...And Justice for All (1979),...And Justice for All,1979,5966,French,Canada,France,Drama,Thriller,"","","","",2,1,2023,Qtr 4,December,16,59,Tablet,F,Subscriber,303
SF_4139,3420,...And Justice for All (1979),...And Justice for All,1979,5966,French,Canada,France,Drama,Thriller,"","","","",2.7,1,2024,Qtr 1,January,24,57,Mobile,M,Free,311
SF_4173,2572,10 Things I Hate About You (1999),10 Things I Hate About You,1999,97574,French,USA,Canada,Comedy,Romance,"","","","",1.6,1,2024,Qtr 3,July,5,64,Desktop,F,Subscriber,98
SF_5106,2572,10 Things I Hate About You (1999),10 Things I Hate About You,1999,97574,French,USA,Canada,Comedy,Romance,"","","","",3.3,1,2024,Qtr 2,June,22,31,Mobile,F,Subscriber,251
SF_5970,2572,10 Things I Hate About You (1999),10 Things I Hate About You,1999,97574,French,USA,India,Comedy,Romance,"","","","",1.6,1,2024,Qtr 4,November,28,25,Mobile,M,Free,388
SF_5814,2085,101 Dalmatians (1961),101 Dalmatians,1961,172248,French,Italy,USA,Animation,Children's,"","","","",3.7,1,2024,Qtr 2,April,25,31,Mobile,M,Subscriber,305
SF_4176,1367,101 Dalmatians (1996),101 Dalmatians,1996,75926,Italian,USA,France,Children's,Comedy,"","","","",3.9,1,2024,Qtr 4,October,12,18,Tablet,M,Subscriber,314
SF_5762,1367,101 Dalmatians (1996),101 Dalmatians,1996,75926,Italian,USA,UK,Children's,Comedy,"","","","",1.7,1,2024,Qtr 3,September,9,56,Smart TV,F,Free,104
SF_1656,1203,12 Angry Men (1957),12 Angry Men,1957,86057,English,France,India,Drama,"","","","","",4.1,1,2024,Qtr 3,July,12,9,Desktop,M,Subscriber,93
SF_2218,1203,12 Angry Men (1957),12 Angry Men,1957,86057,English,France,Canada,Drama,"","","","","",4.4,1,2024,Qtr 4,December,8,25,Smart TV,M,Free,405
SF_366,1203,12 Angry Men (1957),12 Angry Men,1957,86057,English,France,Canada,Drama,"","","","","",4.2,1,2024,Qtr 2,April,9,47,Mobile,M,Subscriber,342
SF_2070,1609,187 (1997),187,1997,53079,French,Italy,UK,Drama,"","","","","",3,1,2023,Qtr 4,December,23,35,Mobile,F,Subscriber,403
SF_3768,1609,187 (1997),187,1997,53079,French,Italy,UK,Drama,"","","","","",2.7,1,2024,Qtr 3,September,3,23,Tablet,M,Subscriber,291
SF_5780,1609,187 (1997),187,1997,53079,French,Italy,India,Drama,"","","","","",4.4,1,2024,Qtr 2,April,17,59,Smart TV,M,Free,482
SF_6013,1609,187 (1997),187,1997,53079,French,Italy,Italy,Drama,"","","","","",1.9,1,2024,Qtr 4,December,11,44,Desktop,F,Free,136
SF_1562,889,1-900 (1994),1-900,1994,55911,German,Italy,France,Romance,"","","","","",5,1,2024,Qtr 4,November,2,36,Mobile,M,Free,279
SF_2500,889,1-900 (1994),1-900,1994,55911,German,Italy,USA,Romance,"","","","","",1.2,1,2024,Qtr 1,March,21,19,Mobile,M,Free,474
SF_3410,889,1-900 (1994),1-900,1994,55911,German,Italy,India,Romance,"","","","","",1.2,1,2024,Qtr 2,May,26,30,Mobile,M,Free,67
SF_3437,889,1-900 (1994),1-900,1994,55911,German,Italy,Canada,Romance,"","","","","",4.7,1,2024,Qtr 1,February,11,36,Mobile,F,Subscriber,317
SF_3332,3936,'-1943,'-1943,,141608,English,USA,Italy,Drama,Thriller,"","","","",3.9,1,2024,Qtr 4,December,5,55,Desktop,M,Free,27
SF_3587,3936,'-1943,'-1943,,141608,English,USA,France,Drama,Thriller,"","","","",2.2,1,2024,Qtr 1,March,27,17,Tablet,M,Subscriber,255
SF_4232,3936,'-1943,'-1943,,141608,English,USA,Canada,Drama,Thriller,"","","","",3.9,1,2024,Qtr 4,December,1,53,Tablet,F,Subscriber,162
SF_4445,3936,'-1943,'-1943,,141608,English,USA,India,Drama,Thriller,"","","","",3.1,1,2024,Qtr 4,October,23,32,Smart TV,M,Subscriber,354
SF_1612,999,2 Days in the Valley (1996),2 Days in the Valley,1996,13698,English,UK,France,Crime,"","","","","",1.7,1,2024,Qtr 2,June,12,12,Mobile,M,Subscriber,105
SF_2707,1019,"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea",1954,339060,German,USA,France,Adventure,Children's,Fantasy,Sci-Fi,"","",2.2,1,2024,Qtr 4,November,21,53,Mobile,M,Free,395
SF_5150,1019,"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea",1954,339060,German,USA,Canada,Adventure,Children's,Fantasy,Sci-Fi,"","",1.2,1,2024,Qtr 3,August,5,58,Tablet,M,Free,449
SF_261,2504,200 Cigarettes (1999),200 Cigarettes,1999,87712,Spanish,UK,India,Comedy,Drama,"","","","",2.6,1,2024,Qtr 2,June,10,36,Tablet,M,Free,105
SF_424,2504,200 Cigarettes (1999),200 Cigarettes,1999,87712,Spanish,UK,USA,Comedy,Drama,"","","","",3.5,1,2024,Qtr 2,May,25,19,Desktop,M,Free,107
SF_613,2504,200 Cigarettes (1999),200 Cigarettes,1999,87712,Spanish,UK,Italy,Comedy,Drama,"","","","",4.1,1,2024,Qtr 4,October,19,47,Desktop,M,Free,101
SF_2155,924,2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,321412,Spanish,Italy,UK,Drama,Mystery,Sci-Fi,Thriller,"","",3.4,1,2024,Qtr 4,November,10,52,Desktop,F,Free,318
SF_4977,924,2001: A Space Odyssey (1968),2001: A Space Odyssey,1968,321412,Spanish,Italy,Canada,Drama,Mystery,Sci-Fi,Thriller,"","",2.6,1,2024,Qtr 3,September,22,17,Tablet,M,Subscriber,35
SF_624,2311,2010 (1984),2010,1984,12294,Italian,Canada,India,Mystery,Sci-Fi,"","","","",4.1,1,2023,Qtr 4,December,31,36,Desktop,M,Subscriber,140
SF_3639,2486,24-hour Woman (1998),24-hour Woman,1998,15303,Italian,Italy,India,Drama,"","","","","",1.5,1,2024,Qtr 2,June,30,17,Smart TV,M,Free,353
SF_4189,2486,24-hour Woman (1998),24-hour Woman,1998,15303,Italian,Italy,India,Drama,"","","","","",1.1,1,2024,Qtr 2,June,12,14,Mobile,M,Free,499
SF_4331,2486,24-hour Woman (1998),24-hour Woman,1998,15303,Italian,Italy,India,Drama,"","","","","",1.9,1,2024,Qtr 4,November,4,40,Mobile,M,Free,42
SF_4377,2486,24-hour Woman (1998),24-hour Woman,1998,15303,Italian,Italy,Italy,Drama,"","","","","",1.3,1,2024,Qtr 3,July,25,33,Desktop,M,Free,256
SF_1513,3534,28 Days (2000),28 Days,2000,83350,French,India,France,Comedy,"","","","","",3.4,1,2024,Qtr 3,August,7,20,Tablet,F,Free,492
SF_2135,3534,28 Days (2000),28 Days,2000,83350,French,India,India,Comedy,"","","","","",1.9,1,2024,Qtr 2,May,31,37,Desktop,M,Subscriber,130
SF_4028,3534,28 Days (2000),28 Days,2000,83350,French,India,France,Comedy,"","","","","",3.3,1,2024,Qtr 4,October,1,14,Mobile,M,Free,179
SF_53,3534,28 Days (2000),28 Days,2000,83350,French,India,Italy,Comedy,"","","","","",2.4,1,2024,Qtr 4,October,26,16,Tablet,M,Free,54
SF_4744,1739,3 Ninjas: High Noon On Mega Mountain (1998),3 Ninjas: High Noon On Mega Mountain,1998,189046,English,UK,India,Action,Children's,"","","","",2.2,1,2024,Qtr 2,April,15,43,Desktop,M,Free,235
SF_4772,1739,3 Ninjas: High Noon On Mega Mountain (1998),3 Ninjas: High Noon On Mega Mountain,1998,189046,English,UK,Canada,Action,Children's,"","","","",3.4,1,2024,Qtr 3,August,9,38,Tablet,M,Subscriber,495
SF_4979,1739,3 Ninjas: High Noon On Mega Mountain (1998),3 Ninjas: High Noon On Mega Mountain,1998,189046,English,UK,France,Action,Children's,"","","","",5,1,2024,Qtr 1,January,23,34,Smart TV,M,Free,423
SF_2022,3322,3 Strikes (2000),3 Strikes,2000,25596,Spanish,UK,India,Comedy,"","","","","",1.7,1,2024,Qtr 3,July,24,59,Smart TV,M,Subscriber,33
SF_5616,3322,3 Strikes (2000),3 Strikes,2000,25596,Spanish,UK,UK,Comedy,"","","","","",3.5,1,2024,Qtr 2,May,25,51,Tablet,M,Free,218
SF_779,3322,3 Strikes (2000),3 Strikes,2000,25596,Spanish,UK,UK,Comedy,"","","","","",4.1,1,2024,Qtr 1,March,31,30,Mobile,M,Subscriber,388
SF_3274,652,"301, 302 (1995)","301, 302",1995,17381,Spanish,India,USA,Mystery,"","","","","",3,1,2024,Qtr 2,May,6,10,Tablet,M,Subscriber,329
SF_4922,652,"301, 302 (1995)","301, 302",1995,17381,Spanish,India,USA,Mystery,"","","","","",2.5,1,2024,Qtr 1,March,26,61,Desktop,M,Free,333
SF_4540,3077,42 Up (1998),42 Up,1998,26603,Spanish,USA,France,Documentary,"","","","","",3.9,1,2024,Qtr 2,April,12,36,Tablet,F,Subscriber,10
SF_5094,3077,42 Up (1998),42 Up,1998,26603,Spanish,USA,UK,Documentary,"","","","","",2.5,1,2024,Qtr 1,March,13,31,Tablet,M,Free,194
SF_759,3077,42 Up (1998),42 Up,1998,26603,Spanish,USA,Canada,Documentary,"","","","","",3.6,1,2024,Qtr 4,November,17,50,Smart TV,F,Subscriber,205
SF_810,3077,42 Up (1998),42 Up,1998,26603,Spanish,USA,Italy,Documentary,"","","","","",3.8,1,2024,Qtr 1,January,29,40,Smart TV,M,Free,171
SF_968,2188,54 (1998),54,1998,7807,Italian,UK,Canada,Drama,"","","","","",3.8,1,2024,Qtr 2,May,17,14,Tablet,M,Subscriber,37
SF_3559,1251,8 1/2 (1963),8 1/2,1963,60129,Spanish,France,USA,Drama,"","","","","",2.7,1,2024,Qtr 2,June,14,29,Tablet,M,Subscriber,441
SF_396,1251,8 1/2 (1963),8 1/2,1963,60129,Spanish,France,Italy,Drama,"","","","","",1.8,1,2024,Qtr 1,March,30,48,Desktop,M,Subscriber,477
SF_1415,3626,8 1/2 Women (1999),8 1/2 Women,1999,14916,Italian,India,USA,Comedy,"","","","","",4.1,1,2024,Qtr 4,October,26,56,Tablet,M,Free,190
SF_2733,3626,8 1/2 Women (1999),8 1/2 Women,1999,14916,Italian,India,France,Comedy,"","","","","",1.9,1,2024,Qtr 3,August,13,17,Tablet,M,Free,40
SF_2892,3626,8 1/2 Women (1999),8 1/2 Women,1999,14916,Italian,India,France,Comedy,"","","","","",2.7,1,2024,Qtr 1,January,12,27,Desktop,M,Free,35
SF_1309,1503,8 Heads in a Duffel Bag (1997),8 Heads in a Duffel Bag,1997,20920,English,UK,Canada,Comedy,"","","","","",4.3,1,2024,Qtr 2,June,29,22,Smart TV,M,Subscriber,216
SF_3559,1503,8 Heads in a Duffel Bag (1997),8 Heads in a Duffel Bag,1997,20920,English,UK,USA,Comedy,"","","","","",4.5,1,2024,Qtr 3,September,27,29,Tablet,M,Subscriber,441
SF_5922,1503,8 Heads in a Duffel Bag (1997),8 Heads in a Duffel Bag,1997,20920,English,UK,France,Comedy,"","","","","",1.9,1,2024,Qtr 2,May,4,37,Mobile,M,Free,282
SF_1359,408,8 Seconds (1994),8 Seconds,1994,28007,French,India,Italy,Drama,"","","","","",1.3,1,2024,Qtr 2,May,25,30,Tablet,M,Free,319
SF_2006,408,8 Seconds (1994),8 Seconds,1994,28007,French,India,India,Drama,"","","","","",2.2,1,2024,Qtr 2,April,2,62,Mobile,M,Free,364
SF_1437,2505,8MM (1999),8MM,1999,99678,English,France,France,Thriller,"","","","","",1.6,1,2024,Qtr 3,August,19,57,Mobile,M,Free,318
SF_4175,2505,8MM (1999),8MM,1999,99678,English,France,India,Thriller,"","","","","",2.6,1,2024,Qtr 1,February,5,15,Mobile,M,Subscriber,136
SF_2739,814,A Boy Called Hate(1995),A Boy Called Hat,1995,17217,Italian,UK,India,Drama,"","","","","",2.5,1,2024,Qtr 1,February,22,42,Smart TV,F,Free,336
SF_5225,814,A Boy Called Hate(1995),A Boy Called Hat,1995,17217,Italian,UK,France,Drama,"","","","","",3.3,1,2024,Qtr 1,March,5,30,Mobile,M,Free,249
SF_5747,814,A Boy Called Hate(1995),A Boy Called Hat,1995,17217,Italian,UK,Canada,Drama,"","","","","",1.9,1,2024,Qtr 3,August,10,27,Tablet,M,Subscriber,370
SF_3830,1510,A Brother's Kiss(1997),A Brother's Kis,1997,87369,Spanish,Italy,Italy,Drama,"","","","","",2.4,1,2024,Qtr 3,August,14,19,Desktop,M,Free,379
SF_4913,1510,A Brother's Kiss(1997),A Brother's Kis,1997,87369,Spanish,Italy,Italy,Drama,"","","","","",1.8,1,2024,Qtr 1,January,21,36,Smart TV,F,Subscriber,126
SF_1620,1511,A Chef in Love (1996),A Chef in Love,1996,84825,Italian,India,India,Comedy,"","","","","",2,1,2024,Qtr 3,July,25,57,Mobile,M,Subscriber,238
SF_3339,1511,A Chef in Love (1996),A Chef in Love,1996,84825,Italian,India,USA,Comedy,"","","","","",4.7,1,2024,Qtr 4,October,5,57,Smart TV,M,Free,91
SF_4137,1511,A Chef in Love (1996),A Chef in Love,1996,84825,Italian,India,USA,Comedy,"","","","","",3,1,2024,Qtr 1,February,8,13,Mobile,M,Free,35
SF_645,1511,A Chef in Love (1996),A Chef in Love,1996,84825,Italian,India,Italy,Comedy,"","","","","",5,1,2024,Qtr 4,December,4,32,Mobile,M,Free,186
SF_5981,1099,A Christmas Carol(1938),A Christmas Caro,1938,73042,German,India,France,Drama,"","","","","",3.5,1,2024,Qtr 1,January,22,65,Desktop,M,Subscriber,443
SF_2344,2804,A Christmas Story(1983),A Christmas Stor,1983,5658,Italian,France,Canada,Comedy,Drama,"","","","",3.2,1,2024,Qtr 1,February,5,30,Tablet,M,Free,267
