MovieID,Title,Title,Year,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Language,Country,Total Views,,,,,,,,,
1,Toy Story (1995),Toy Story,1995,Animation,Children's,Comedy,,,,German,Italy,69118,,,,,,,,,
2,Jumanji (1995),Jumanji,1995,Adventure,Children's,Fantasy,,,,Spanish,UK,1661,,,,,,,,,
3,Grumpier Old Men (1995),Grumpier Old Men,1995,Comedy,Romance,,,,,English,India,22205,,,,,,,,,
4,Waiting to Exhale (1995),Waiting to Exhale,1995,Comedy,Drama,,,,,Spanish,India,84783,,,,,,,,,
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995,Comedy,,,,,,German,India,61291,,,,,,,,,
6,Heat (1995),Heat,1995,Action,Crime,Thriller,,,,English,Canada,40658,,,,,,,,,
7,Sabrina (1995),Sabrina,1995,Comedy,Romance,,,,,German,France,63623,,,,,,,,,
8,Tom and Huck (1995),Tom and Huck,1995,Adventure,Children's,,,,,French,India,50355,,,,,,,,,
9,Sudden Death (1995),Sudden Death,1995,Action,,,,,,Spanish,UK,3943,,,,,,,,,
10,GoldenEye (1995),GoldenEye,1995,Action,Adventure,Thriller,,,,Spanish,Canada,74950,,,,,,,,,
11,The American President(1995),The American Presiden,1995,Comedy,Drama,Romance,,,,French,France,79317,,,,,,,,,
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,Comedy,Horror,,,,,German,France,59858,,,,,,,,,
13,Balto (1995),Balto,1995,Animation,Children's,,,,,Italian,UK,39370,,,,,,,,,
14,Nixon (1995),Nixon,1995,Drama,,,,,,Spanish,UK,98502,,,,,,,,,
15,Cutthroat Island (1995),Cutthroat Island,1995,Action,Adventure,Romance,,,,Spanish,India,41754,,,,,,,,,
16,Casino (1995),Casino,1995,Drama,Thriller,,,,,German,France,4961,,,,,,,,,
17,Sense and Sensibility (1995),Sense and Sensibility,1995,Drama,Romance,,,,,Italian,France,91178,,,,,,,,,
18,Four Rooms (1995),Four Rooms,1995,Thriller,,,,,,German,Canada,15056,,,,,,,,,
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,Comedy,,,,,,Spanish,USA,58261,,,,,,,,,
20,Money Train (1995),Money Train,1995,Action,,,,,,German,UK,13604,,,,,,,,,
21,Get Shorty (1995),Get Shorty,1995,Action,Comedy,Drama,,,,German,India,90108,,,,,,,,,
22,Copycat (1995),Copycat,1995,Crime,Drama,Thriller,,,,Italian,France,37070,,,,,,,,,
23,Assassins (1995),Assassins,1995,Thriller,,,,,,English,Italy,25385,,,,,,,,,
24,Powder (1995),Powder,1995,Drama,Sci-Fi,,,,,French,USA,11556,,,,,,,,,
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,Drama,Romance,,,,,French,Italy,3607,,,,,,,,,
26,Othello (1995),Othello,1995,Drama,,,,,,Italian,Italy,33580,,,,,,,,,
27,Now and Then (1995),Now and Then,1995,Drama,,,,,,Spanish,India,95762,,,,,,,,,
28,Persuasion (1995),Persuasion,1995,Romance,,,,,,English,Canada,66047,,,,,,,,,
29,The City of Lost Children(1995),The City of Lost Childre,1995,Adventure,Sci-Fi,,,,,Italian,India,20596,,,,,,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Drama,,,,,,English,France,10068,,,,,,,,,
31,Dangerous Minds (1995),Dangerous Minds,1995,Drama,,,,,,Spanish,Italy,8564,,,,,,,,,
32,Twelve Monkeys (1995),Twelve Monkeys,1995,Drama,Sci-Fi,,,,,Italian,France,1838,,,,,,,,,
33,Wings of Courage (1995),Wings of Courage,1995,Adventure,Romance,,,,,English,Italy,94496,,,,,,,,,
34,Babe (1995),Babe,1995,Children's,Comedy,Drama,,,,Italian,Canada,62835,,,,,,,,,
35,Carrington (1995),Carrington,1995,Drama,Romance,,,,,Italian,Italy,85634,,,,,,,,,
36,Dead Man Walking (1995),Dead Man Walking,1995,Drama,,,,,,French,UK,6664,,,,,,,,,
37,Across the Sea of Time (1995),Across the Sea of Time,1995,Documentary,,,,,,Italian,France,96231,,,,,,,,,
38,It Takes Two (1995),It Takes Two,1995,Comedy,,,,,,Italian,Canada,42456,,,,,,,,,
39,Clueless (1995),Clueless,1995,Comedy,Romance,,,,,Spanish,India,17636,,,,,,,,,
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995,Drama,,,,,,Spanish,France,56407,,,,,,,,,
41,Richard III (1995),Richard III,1995,Drama,War,,,,,Italian,USA,22916,,,,,,,,,
42,Dead Presidents (1995),Dead Presidents,1995,Action,Crime,Drama,,,,French,Italy,80657,,,,,,,,,
43,Restoration (1995),Restoration,1995,Drama,,,,,,English,Italy,59361,,,,,,,,,
44,Mortal Kombat (1995),Mortal Kombat,1995,Action,Adventure,,,,,Spanish,UK,55503,,,,,,,,,
45,To Die For (1995),To Die For,1995,Comedy,Drama,,,,,German,Italy,9861,,,,,,,,,
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995,Drama,Romance,,,,,German,Canada,24155,,,,,,,,,
47,Seven (Se7en) (1995),Seven (Se7en),1995,Crime,Thriller,,,,,Spanish,Italy,44918,,,,,,,,,
48,Pocahontas (1995),Pocahontas,1995,Animation,Children's,Musical,Romance,,,Italian,Italy,89436,,,,,,,,,
49,When Night Is Falling (1995),When Night Is Falling,1995,Drama,Romance,,,,,French,India,92016,,,,,,,,,
50,The Usual Suspects(1995),The Usual Suspect,1995,Crime,Thriller,,,,,Italian,India,86782,,,,,,,,,
51,Guardian Angel (1994),Guardian Angel,1994,Action,Drama,Thriller,,,,English,India,86868,,,,,,,,,
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995,Comedy,,,,,,German,Italy,16459,,,,,,,,,
53,Lamerica (1994),Lamerica,1994,Drama,,,,,,Spanish,Canada,11033,,,,,,,,,
54,The Big Green(1995),The Big Gree,1995,Children's,Comedy,,,,,French,UK,31907,,,,,,,,,
55,Georgia (1995),Georgia,1995,Drama,,,,,,French,UK,71386,,,,,,,,,
